category,kind,title,quantity,limit,verified,unit,mode
it,backup_retention,Backup retention extension,retention_days,legal_retention_days,retention_basis_valid,days,reserve
it,service_credit,IT service credit,credited_minutes,outage_minutes,sla_breach_confirmed,minutes,credit
healthcare,procedure_booking,Clinical procedure booking,procedure_minutes,theatre_minutes,consent_recorded,minutes,reserve
healthcare,medication_order,Medication dispensing order,dose_units,prescribed_units,pharmacist_verified,doses,reserve
healthcare,lab_request,Laboratory test request,test_panels,authorized_panels,sample_accepted,panels,reserve
healthcare,bed_allocation,Hospital bed allocation,bed_days,available_bed_days,admission_approved,bed_days,reserve
healthcare,insurance_recovery,Clinical insurance recovery,recovered_cents,covered_charge_cents,claim_adjudicated,cents,credit
healthcare,blood_reservation,Blood product reservation,blood_units,compatible_units,crossmatch_verified,units,reserve
education,course_enrollment,Course enrollment request,course_credits,credit_load_limit,prerequisites_verified,credits,reserve
education,scholarship_award,Scholarship award,award_amount_cents,scholarship_fund_cents,eligibility_verified,cents,reserve
education,exam_booking,Examination booking,exam_seats,exam_room_seats,registration_valid,seats,reserve
education,research_stipend,Research stipend claim,stipend_cents,grant_stipend_cents,progress_certified,cents,credit
education,library_loan,Library loan request,loan_days,loan_policy_days,borrower_in_good_standing,days,reserve
education,tuition_refund,Tuition refund request,tuition_refund_cents,paid_tuition_cents,withdrawal_eligible,cents,reserve
construction,work_package,Construction work package,crew_hours,scheduled_crew_hours,permit_ready,hours,reserve
construction,progress_certificate,Construction progress certificate,certified_cents,contract_remaining_cents,engineer_certified,cents,credit
construction,change_order,Construction change order,variation_cents,contingency_cents,scope_approved,cents,reserve
construction,equipment_hire,Construction equipment hire,hire_days,available_machine_days,operator_certified,days,reserve
construction,concrete_delivery,Concrete delivery request,concrete_cubic_metres,pour_capacity_cubic_metres,mix_approved,cubic_metres,reserve
construction,retention_release,Construction retention release,released_cents,retained_cents,defects_cleared,cents,credit
energy,grid_dispatch,Grid dispatch request,dispatch_mwh,available_mwh,grid_clearance,mwh,reserve
energy,renewable_certificate,Renewable certificate issuance,certified_mwh,metered_renewable_mwh,audit_verified,mwh,credit
energy,fuel_requisition,Fuel requisition,fuel_litres,available_fuel_litres,handling_permit,litres,reserve
energy,curtailment_credit,Curtailment credit,curtailed_kwh,verified_baseline_kwh,dispatch_record_valid,kwh,credit
energy,connection_capacity,Grid connection capacity request,connection_kw,feeder_headroom_kw,protection_study_approved,kw,reserve
energy,emission_allowance,Emission allowance surrender,emission_tonnes,held_allowance_tonnes,emissions_verified,tonnes,reserve
agriculture,seed_allocation,Seed allocation,seed_kilograms,certified_seed_kilograms,germination_test_passed,kilograms,reserve
agriculture,irrigation_booking,Irrigation allocation,water_cubic_metres,water_entitlement_cubic_metres,water_permit,cubic_metres,reserve
agriculture,harvest_receipt,Harvest receipt,harvest_tonnes,contracted_tonnes,moisture_checked,tonnes,credit
agriculture,fertilizer_order,Fertilizer application order,nutrient_kilograms,agronomic_limit_kilograms,soil_test_reviewed,kilograms,reserve
agriculture,livestock_transfer,Livestock movement request,animal_heads,transport_head_capacity,veterinary_clearance,heads,reserve
agriculture,crop_loss_claim,Crop loss claim,loss_cents,insured_crop_cents,loss_assessed,cents,credit
hospitality,hotel_booking,Hotel reservation,room_nights,available_room_nights,guest_payment_valid,nights,reserve
hospitality,event_booking,Hospitality event booking,event_guests,venue_guest_capacity,catering_plan_approved,guests,reserve
hospitality,loyalty_award,Loyalty points award,loyalty_points,eligible_stay_points,stay_completed,points,credit
hospitality,meal_voucher,Meal voucher issuance,meal_vouchers,meal_plan_allowance,guest_entitled,vouchers,reserve
hospitality,banquet_deposit,Banquet deposit allocation,deposit_cents,confirmed_deposit_cents,event_contract_signed,cents,credit
hospitality,guest_compensation,Guest compensation,compensation_cents,service_recovery_limit_cents,incident_verified,cents,reserve
travel,flight_reservation,Flight reservation,passenger_seats,flight_available_seats,travel_document_valid,seats,reserve
travel,rail_reservation,Rail reservation,rail_seats,train_available_seats,fare_eligible,seats,reserve
travel,vehicle_rental,Vehicle rental request,rental_days,fleet_available_days,driver_license_valid,days,reserve
travel,travel_advance,Travel advance request,advance_cents,trip_budget_cents,itinerary_approved,cents,reserve
travel,mileage_claim,Business mileage claim,business_kilometres,policy_kilometres,route_verified,kilometres,credit
travel,travel_refund,Travel cancellation refund,reimbursed_cents,refundable_fare_cents,cancellation_eligible,cents,credit
insurance,policy_binding,Insurance policy binding,insured_value_cents,underwriting_limit_cents,risk_accepted,cents,reserve
insurance,claim_payment,Insurance claim payment,claim_payment_cents,adjudicated_loss_cents,coverage_confirmed,cents,reserve
insurance,premium_credit,Premium adjustment credit,premium_credit_cents,unearned_premium_cents,endorsement_valid,cents,credit
insurance,reinsurance_cession,Reinsurance cession,ceded_risk_cents,treaty_capacity_cents,treaty_eligible,cents,reserve
insurance,salvage_recovery,Insurance salvage recovery,salvage_cents,estimated_salvage_cents,salvage_received,cents,credit
insurance,reserve_release,Insurance reserve release,released_reserve_cents,booked_reserve_cents,claim_closed,cents,credit
legal,matter_budget,Legal matter budget request,counsel_hours,matter_hour_budget,engagement_approved,hours,reserve
legal,settlement_offer,Legal settlement offer,settlement_cents,settlement_authority_cents,client_consent,cents,reserve
legal,filing_fee,Court filing fee request,filing_cents,court_fee_allowance_cents,filing_ready,cents,reserve
legal,trust_disbursement,Client trust disbursement,disbursed_cents,cleared_trust_cents,beneficiary_authorized,cents,reserve
legal,cost_recovery,Legal cost recovery,recovered_cost_cents,awarded_cost_cents,award_enforceable,cents,credit
legal,document_hold,Legal document hold,hold_days,authorized_hold_days,litigation_basis_valid,days,reserve
media,campaign_booking,Advertising campaign booking,impressions,available_impressions,creative_approved,impressions,reserve
media,royalty_claim,Content royalty claim,royalty_cents,reported_royalty_cents,rights_verified,cents,credit
media,studio_booking,Studio booking,studio_hours,studio_open_hours,production_plan_ready,hours,reserve
media,content_license,Content license request,licensed_uses,available_license_uses,territory_cleared,uses,reserve
media,ad_credit,Advertising service credit,credited_impressions,undelivered_impressions,delivery_audited,impressions,credit
media,broadcast_slot,Broadcast slot request,airtime_seconds,scheduled_airtime_seconds,compliance_cleared,seconds,reserve
telecom,number_allocation,Telephone number allocation,phone_numbers,available_numbers,regulatory_eligible,numbers,reserve
telecom,bandwidth_order,Bandwidth service order,bandwidth_mbps,port_capacity_mbps,route_provisionable,mbps,reserve
telecom,data_bundle,Mobile data bundle activation,bundle_gigabytes,account_data_allowance_gigabytes,subscriber_verified,gigabytes,reserve
telecom,roaming_credit,Roaming billing credit,roaming_credit_cents,disputed_roaming_cents,usage_reconciled,cents,credit
telecom,tower_access,Tower maintenance access,access_hours,permitted_access_hours,safety_induction_complete,hours,reserve
telecom,interconnect_settlement,Interconnect settlement,settled_minutes,validated_call_minutes,partner_reconciled,minutes,credit
public_sector,permit_application,Municipal permit application,permit_days,zoning_allowed_days,inspection_passed,days,reserve
public_sector,benefit_award,Public benefit award,benefit_cents,entitlement_cents,means_test_verified,cents,reserve
public_sector,grant_reimbursement,Public grant reimbursement,reimbursed_grant_cents,eligible_project_cents,expenditure_audited,cents,credit
public_sector,public_venue,Public venue reservation,venue_hours,public_booking_hours,event_permit_valid,hours,reserve
public_sector,tax_refund,Tax refund application,tax_refund_cents,verified_overpayment_cents,tax_return_assessed,cents,reserve
public_sector,disaster_allocation,Disaster relief allocation,relief_kits,available_relief_kits,need_verified,kits,reserve
nonprofit,donation_receipt,Donation receipt,donation_cents,cleared_donation_cents,donor_screened,cents,credit
nonprofit,aid_distribution,Aid distribution request,aid_packages,available_aid_packages,recipient_eligible,packages,reserve
nonprofit,volunteer_assignment,Volunteer assignment,volunteer_hours,pledged_hours,safeguarding_cleared,hours,reserve
nonprofit,program_budget,Nonprofit program budget,program_cents,restricted_fund_cents,program_authorized,cents,reserve
nonprofit,matching_gift,Matching gift claim,matched_cents,employer_match_limit_cents,original_gift_verified,cents,credit
nonprofit,fund_release,Restricted fund release,released_fund_cents,restricted_balance_cents,restriction_satisfied,cents,credit
research,experiment_slot,Research experiment slot,instrument_hours,instrument_available_hours,protocol_approved,hours,reserve
research,sample_transfer,Research sample transfer,sample_vials,consented_vials,ethics_clearance,vials,reserve
research,grant_drawdown,Research grant drawdown,drawdown_cents,grant_available_cents,milestone_accepted,cents,credit
research,publication_fund,Open access publication funding,publication_cents,publication_budget_cents,journal_eligible,cents,reserve
research,animal_protocol,Research animal allocation,animal_count,ethics_approved_count,welfare_reviewed,animals,reserve
research,compute_credit,Research compute credit,credited_cpu_hours,awarded_cpu_hours,allocation_verified,cpu_hours,credit
maintenance,preventive_work,Preventive maintenance work order,maintenance_cycles,due_cycles,procedure_released,cycles,reserve
maintenance,spare_issue,Maintenance spare part issue,spare_units,serviceable_spare_units,compatibility_verified,units,reserve
maintenance,warranty_recovery,Equipment warranty recovery,warranty_cents,covered_repair_cents,warranty_valid,cents,credit
maintenance,calibration_slot,Calibration booking,calibration_hours,lab_available_hours,standard_traceable,hours,reserve
maintenance,downtime_credit,Equipment downtime credit,credited_downtime_hours,verified_downtime_hours,availability_breach,hours,credit
maintenance,overhaul_request,Equipment overhaul request,overhaul_days,shutdown_available_days,engineering_reviewed,days,reserve
retail,promotion_allocation,Retail promotion allocation,promotional_units,promotion_stock_units,promotion_authorized,units,reserve
retail,store_transfer,Retail store transfer,transfer_units,store_available_units,destination_ready,units,reserve
retail,return_credit,Retail return credit,return_credit_cents,original_sale_cents,return_inspected,cents,credit
retail,gift_card_load,Gift card load request,loaded_cents,received_tender_cents,payment_cleared,cents,credit
retail,price_protection,Price protection claim,price_difference_cents,eligible_sale_cents,price_window_valid,cents,credit
retail,markdown_budget,Markdown budget request,markdown_cents,markdown_allowance_cents,inventory_age_verified,cents,reserve
banking,loan_drawdown,Loan drawdown request,drawn_cents,undrawn_facility_cents,covenants_satisfied,cents,reserve
banking,deposit_credit,Deposit posting request,deposited_cents,cleared_funds_cents,source_verified,cents,credit
banking,card_limit,Card spending allocation,card_spend_cents,card_limit_cents,cardholder_verified,cents,reserve
banking,collateral_release,Collateral release request,released_collateral_cents,excess_collateral_cents,valuation_current,cents,credit
banking,fee_reversal,Bank fee reversal,reversed_fee_cents,charged_fee_cents,complaint_upheld,cents,credit
banking,trade_finance,Trade finance issuance,guaranteed_cents,trade_line_cents,documents_compliant,cents,reserve
real_estate,lease_offer,Property lease offer,lease_months,available_lease_months,tenant_screened,months,reserve
real_estate,deposit_release,Tenancy deposit release,released_deposit_cents,held_deposit_cents,checkout_completed,cents,credit
real_estate,property_viewing,Property viewing booking,viewing_minutes,agent_available_minutes,viewer_verified,minutes,reserve
real_estate,repair_allowance,Tenancy repair allowance,allowance_cents,landlord_repair_budget_cents,repair_evidence_valid,cents,reserve
real_estate,rent_credit,Rent abatement credit,rent_credit_cents,affected_rent_cents,habitability_issue_verified,cents,credit
real_estate,commission_release,Property commission release,released_commission_cents,escrowed_commission_cents,closing_recorded,cents,credit
commerce,payout_request,Merchant payout request,payout_cents,settled_merchant_cents,merchant_verified,cents,reserve
commerce,chargeback_recovery,Chargeback recovery,recovered_dispute_cents,disputed_payment_cents,evidence_accepted,cents,credit
commerce,fulfillment_order,Commerce fulfillment order,fulfillment_units,sellable_units,address_validated,units,reserve
commerce,subscription_credit,Subscription service credit,subscription_credit_days,affected_subscription_days,service_issue_verified,days,credit
commerce,coupon_budget,Coupon campaign budget,coupon_redemptions,authorized_redemptions,campaign_approved,redemptions,reserve
commerce,marketplace_rebate,Marketplace rebate claim,marketplace_rebate_cents,eligible_marketplace_cents,promotion_terms_met,cents,credit
